Airtable field,R2 field,Transform rule
model_key,model_key,"required; lowercase; immutable; pattern ^[a-z0-9][a-z0-9_-]{1,63}$"
slug,slug,"required; lowercase kebab-case; unique; can change"
display_name,display_name,"required; trim; max 120"
nickname,nickname,"optional; trim; max 120"
search_tokens,search_tokens,"required array; split comma or multi-select; unique lowercase strings"
status,status,"required enum: active|paused|hidden|archived"
booking_visibility,booking_visibility,"required enum: public|private|hidden"
tiers,tiers,"required array; normalize multi-select to unique enum values"
job_types,job_types,"required array; normalize multi-select to unique enum values"
city,city,"required string; trim"
zones,zones,"array; normalize multi-select to unique strings"
languages,languages,"array; normalize to th|en|zh|jp|other"
tags,tags,"array; normalize to unique lowercase strings"
hero_image_url,hero_image,"required URI; public-safe only"
card_image_url,card_image,"required URI; public-safe only"
thumb_image_url,thumb_image,"required URI; public-safe only"
base_rate_thb,base_rate_thb,"required integer; min 0"
rate_label,rate_label,"required display string"
duration_options,duration_options,"required array; normalize to HH:MM or 06:00+"
sort_priority,sort_priority,"integer; default 0"
updated_at,updated_at,"required ISO 8601 datetime"
bio_short,bio_short,"detail-only; required in models/<model_key>.json; max 300"
bio_long,bio_long,"detail-only; optional in models/<model_key>.json; max 4000"
gallery_image_urls,images.gallery,"detail-only; array of valid URIs"
availability_bookable,availability.bookable,"detail-only; boolean"
availability_days,availability.days,"detail-only; map to mon..sun"
availability_time_blocks,availability.time_blocks,"detail-only; array pattern HH:MM-HH:MM"
addon_code,pricing.addons[].code,"child table model_addons; lowercase unique code"
addon_label,pricing.addons[].label,"child table model_addons; trim"
addon_price_thb,pricing.addons[].price_thb,"child table model_addons; integer min 0"
telegram_username,not published by default,"keep in Airtable/worker unless explicitly public-safe"
telegram_id,not published,"private; worker only"
line_id,not published,"private; worker only"
phone,not published,"private; worker only"
admin_note,not published,"private; worker only"
real_address,not published,"private; worker only"
airtable_record_id,not published by default,"internal only unless explicit admin/debug need"
